"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "JavaScript", "XML", "Log", "comment", "blank", "total"
"/Users/arharutyunyan/Desktop/yvnow/src/locales/ru/ru.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"/Users/arharutyunyan/Desktop/yvnow/src/pages/EventDetails/CustomerInfoCard/CustomerInfoCard.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 4, 97
"/Users/arharutyunyan/Desktop/yvnow/src/pages/EventDetails/EventDetails.tsx", "TypeScript JSX", 0, 285, 0, 0, 0, 0, 0, 2, 6, 293
"/Users/arharutyunyan/Desktop/yvnow/src/pages/NoInternet/NoInternet.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/arharutyunyan/Desktop/yvnow/src/pages/PartnerProfile/About/About.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 0, 0, 1, 8, 106
"/Users/arharutyunyan/Desktop/yvnow/src/pages/PartnerProfile/EventCardSmall/EventCardSmall.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 0, 0, 0, 4, 139
"/Users/arharutyunyan/Desktop/yvnow/src/pages/PartnerProfile/PartnerProfile.tsx", "TypeScript JSX", 0, 276, 0, 0, 0, 0, 0, 1, 12, 289
"/Users/arharutyunyan/Desktop/yvnow/src/pages/Route/Route.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/arharutyunyan/Desktop/yvnow/src/pages/Route/StackRout/StackRout.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 5, 9, 137
"/Users/arharutyunyan/Desktop/yvnow/src/pages/Route/TabRout/TabRout.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 7, 134
"/Users/arharutyunyan/Desktop/yvnow/src/pages/Settings/Languages/Language/Language.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 7, 68
